snail_ID,termination,size_mm,sex,ecotype,time_min,no_eggshell,egg,misdev,veliger,shelled,crawlaway,notes
FT101,,13,male,crab,,,,,,,,
FT102,,11.5,male,crab,,,,,,,,
FT103,,14,male,crab,,,,,,,,
FT104,,9,male,crab,,,,,,,,
FT105,,12,male,crab,,,,,,,,
FT106,,12,male,crab,,,,,,,,
FT107,,13,male,crab,,,,,,,,
FT108,,11,male,crab,,,,,,,,
FT109,,13,male,crab,,,,,,,,
FT110,,10,male,crab,,,,,,,,
FT111,,9.5,male,crab,,,,,,,,
FT112,,8,male,crab,,,,,,,,
FT113,,12,male,crab,,,,,,,,
FT114,,13,male,crab,,,,,,,,
FT115,,12.5,male,crab,,,,,,,,
FT116,,12,male,crab,,,,,,,,
FT117,,12,male,crab,,,,,,,,
FT118,,12.5,male,crab,,,,,,,,
FT119,,13,male,crab,,,,,,,,
FT120,,8,male,crab,,,,,,,,
FT121,,9,male,crab,,,,,,,,
FT122,,13,male,crab,,,,,,,,
FT123,,12,male,crab,,,,,,,,
FT124,,11,male,crab,,,,,,,,
FT125,,13,male,crab,,,,,,,,
FT126,,8,male,crab,,,,,,,,
FT127,,10,male,crab,,,,,,,,
FT128,,8.5,male,crab,,,,,,,,
FT129,,13,male,crab,,,,,,,,
FT130,,14,male,crab,,,,,,,,
FT131,,13.5,male,crab,,,,,,,,
FT132,,13.5,male,crab,,,,,,,,
FT133,,9,male,crab,,,,,,,,
FT134,,12,male,crab,,,,,,,,
FT135,,11,male,crab,,,,,,,,
FT136,,12,male,crab,,,,,,,,
FT137,,9,male,crab,,,,,,,,
FT138,,11.5,male,crab,,,,,,,,
FT139,,11.5,male,crab,,,,,,,,
FT140,,10,male,crab,,,,,,,,
FT141,,9,male,crab,,,,,,,,
FT142,,12,male,crab,,,,,,,,
FT143,,13,male,crab,,,,,,,,
K50,ARTIFICIAL,9,female,crab,30,1,8,21,19,41,28,in tank 20200602
J00,,8,female,crab,,,,,,,,
K00,NONE,8.5,female,crab,Control,2,21,4,0,0,0,in tank 20200611
H00,ARTIFICIAL,9,female,crab,5,,3,6,2,6,0,in tank 20200611
J50,,7.5,female,crab,,,,,,,,
H50,,8,female,crab,,,,,,,,
K51,,8,female,crab,,,,,,,,
K01,,8,female,crab,,,,,,,,
J51,ARTIFICIAL,9,female,crab,30,,25,17,39,49,13,in tank 20200525
J01,,7.5,female,crab,,,,,,,,
H51,NONE,9,female,crab,Control,,42,23,0,0,0,in tank 20200611
H01,,8.5,female,crab,,,,,,,,
K52,,8.5,female,crab,,,,,,,,
K02,,8.5,female,crab,,,,,,,,
J52,,8,female,crab,,,,,,,,
J02,,7,female,crab,,,,,,,,
H02,ARTIFICIAL,8,female,wave,1,,29,47,63,103,72,in tank 20200527
H52,ARTIFICIAL,8.5,female,wave,5,,26,40,23,85,78,in tank 20200601
H53,NATURAL,7.5,female,wave,11,,43,51,49,128,51,in tank 20200527
H03,,7,female,wave,,,,,,,,
FT144,,9.5,male,crab,,,,,,,,
FT145,,9,male,crab,,,,,,,,
FT146,,9,male,crab,,,,,,,,
FT147,,10,male,crab,,,,,,,,
FT148,,9,male,crab,,,,,,,,
FT149,,8,male,crab,,,,,,,,
FT150,,8,male,crab,,,,,,,,
FT151,,9,male,crab,,,,,,,,
FT152,,8,male,crab,,,,,,,,
FT153,,10,male,crab,,,,,,,,
FT154,,9,male,crab,,,,,,,,
FT155,,10.5,male,crab,,,,,,,,
FT156,,9.5,male,crab,,,,,,,,
FT157,,10,male,crab,,,,,,,,
FT158,,7.5,male,crab,,,,,,,,
FT159,,9,male,crab,,,,,,,,
FT160,,9,male,crab,,,,,,,,
FT161,,9.5,male,crab,,,,,,,,
FT162,,8.5,male,crab,,,,,,,,
FT163,,8.5,male,crab,,,,,,,,
FT164,,9,male,crab,,,,,,,,
FT165,,9,male,crab,,,,,,,,
FT166,,9,male,crab,,,,,,,,
FT167,,9.5,male,crab,,,,,,,,
FT168,,9,male,crab,,,,,,,,
FT169,,8.5,male,crab,,,,,,,,
FT170,,9,male,crab,,,,,,,,
FT171,,9,male,crab,,,,,,,,
FT172,,10,male,crab,,,,,,,,
FT173,,9,male,crab,,,,,,,,
FT174,,9,male,crab,,,,,,,,
FT175,,8,male,crab,,,,,,,,
FT176,,9,male,crab,,,,,,,,
FT177,,8,male,crab,,,,,,,,
FT178,,8.5,male,crab,,,,,,,,
FT179,,9.5,male,crab,,,,,,,,
FT180,,7.5,male,crab,,,,,,,,
FT181,,8,male,crab,,,,,,,,
FT182,,7,male,crab,,,,,,,,
FT183,,10.5,male,crab,,,,,,,,
FT184,,7,male,crab,,,,,,,,
FT185,,7,male,crab,,,,,,,,
FT186,,10,male,crab,,,,,,,,
H04,LOST,10.5,female,crab,1,,,,,,,in tank 20200525
H05,ARTIFICIAL,13,female,crab,5,,0,0,0,0,0,in tank 20200525
H06,ARTIFICIAL,12,female,crab,30,,14,29,62,184,143,in tank 20200601
H07,NONE,14,female,crab,Control,,3,0,0,0,0,in tank 20200611
H08,NATURAL,13,female,crab,3,,3,23,1,28,1,in tank 20200604
H09,ARTIFICIAL,12,female,crab,1,,15,12,66,79,42,in tank 20200527
H10,,12.5,female,crab,,,,,,,,
H11,ARTIFICIAL,12,female,crab,1,,0,0,0,0,0,in tank 20200528
H12,ARTIFICIAL,12.5,female,crab,30,,5,11,0,0,0,in tank 20200528
H13,,11,female,crab,,,,,,,,
H14,ARTIFICIAL,10,female,crab,5,,2,5,2,6,0,in tank 20200526
H15,ARTIFICIAL,10,female,crab,30,,1,1,0,0,0,in tank 20200601
FT187,,5,male,wave,,,,,,,,
FT188,,5,male,wave,,,,,,,,
FT189,,6,male,wave,,,,,,,,
FT190,,4,male,wave,,,,,,,,
FT191,,6,male,wave,,,,,,,,
FT192,,5,male,wave,,,,,,,,
FT193,,5,male,wave,,,,,,,,
FT194,,5,male,wave,,,,,,,,
FT195,,4,male,wave,,,,,,,,
FT196,,4,male,wave,,,,,,,,
FT197,,3,male,wave,,,,,,,,
FT198,,4,male,wave,,,,,,,,
FT199,,3,male,wave,,,,,,,,
H16,,10,female,crab,,,,,,,,
H17,,10,female,crab,,,,,,,,
H18,ARTIFICIAL,9,female,crab,1,,8,4,10,7,0,in tank 20200603
H19,ARTIFICIAL,9.5,female,crab,5,,0,0,0,0,0,in tank 20200604
H20,ARTIFICIAL,9.5,female,crab,30,,0,0,10,0,0,in tank 20200611
H21,ARTIFICIAL,10,female,crab,1,,11,7,0,0,0,in tank 20200602
H22,ARTIFICIAL,9,female,crab,5,,0,0,0,0,0,in tank 20200602
H23,ARTIFICIAL,11,female,crab,1,,2,1,68,84,15,in tank 20200609
H24,,9,female,crab,,,,,,,,
H25,ARTIFICIAL,9.5,female,crab,5,,37,6,7,102,83,in tank 20200603