snail_ID,termination,size_mm,sex,ecotype,time_min,egg,misdev,veliger,shelled,crawlaway,stage,notes,vip
C,NONE,5.8,female,wave,Control,37,9,0,0,0,U,pilot,S
M,NONE,8.1,female,wave,Control,18,2,0,0,0,U,pilot,S
O,NONE,8.3,female,wave,Control,129,115,0,0,0,U,pilot,S
A,ARTIFICIAL,5.1,female,wave,5,2,7,1,9,0,U,pilot,S
G,ARTIFICIAL,7.4,female,wave,5,47,14,28,39,1,U,pilot,S
K,NATURAL,7.8,female,wave,5,19,43,0,0,0,U,pilot,S
S,ARTIFICIAL,9.2,female,wave,5,157,25,2,0,0,U,pilot,S
T,ARTIFICIAL,9.3,female,wave,5,198,60,0,0,0,U,pilot,S
J,ARTIFICIAL,7.6,female,wave,10,68,58,0,11,1,U,pilot,S
F,ARTIFICIAL,7.2,female,wave,30,46,8,24,19,0,U,pilot,S
L,NATURAL,7.9,female,wave,6,22,5,0,0,0,U,pilot,S
N,NATURAL,8.3,female,wave,28,50,20,8,8,1,U,pilot,S
Q,NATURAL,8.6,female,wave,17,6,4,2,0,0,U,pilot,S
R,NATURAL,8.7,female,wave,15,17,6,0,21,5,U,pilot,S
T,ARTIFICIAL,9.3,female,wave,5,258,0,0,0,0,U,pilot,K
M,NONE,8.1,female,wave,Control,21,0,0,0,0,U,pilot,K
R,NATURAL,8.7,female,wave,15,22,0,0,28,0,SAME,pilot,K
A,ARTIFICIAL,5.1,female,wave,5,7,0,0,9,0,SAME,pilot,K
S,ARTIFICIAL,9.2,female,wave,5,184,0,0,0,0,U,pilot,K
F,ARTIFICIAL,7.2,female,wave,30,10,0,87,0,0,DIFF,pilot,K
Q,NATURAL,8.6,female,wave,17,9,0,2,0,0,U,pilot,K
G,ARTIFICIAL,7.4,female,wave,5,34,13,82,0,0,DIFF,pilot,K
O,NONE,8.3,female,wave,Control,244,0,0,0,0,U,pilot,K
C,NONE,5.8,female,wave,Control,46,0,0,0,0,U,pilot,K
J,ARTIFICIAL,7.6,female,wave,10,126,0,0,12,0,SAME,pilot,K